# tracer: function_graph
#
#     TIME        CPU  TASK/PID         DURATION                  FUNCTION CALLS
#      |          |     |    |           |   |                     |   |   |   |
   11.713021 |   2)     dd-127     |   0.124 us    |                                                                      preempt_count_add();
   11.713021 |   2)     dd-127     |   0.391 us    |                                                                    } /* _raw_spin_lock_irqsave */
   11.713021 |   2)     dd-127     |   0.133 us    |                                                                    kthread_is_per_cpu();
   11.713022 |   2)     dd-127     |   0.128 us    |                                                                    ttwu_queue_wakelist();
   11.713022 |   2)     dd-127     |               |                                                                    raw_spin_rq_lock_nested.constprop.0() {
   11.713022 |   2)     dd-127     |               |                                                                      _raw_spin_lock() {
   11.713022 |   2)     dd-127     |   0.134 us    |                                                                        preempt_count_add();
   11.713022 |   2)     dd-127     |   0.395 us    |                                                                      } /* _raw_spin_lock */
   11.713022 |   2)     dd-127     |   0.653 us    |                                                                    } /* raw_spin_rq_lock_nested.constprop.0 */
   11.713023 |   2)     dd-127     |               |                                                                    update_rq_clock() {
   11.713023 |   2)     dd-127     |   0.122 us    |                                                                      arch_scale_cpu_capacity();
   11.713023 |   2)     dd-127     |   0.426 us    |                                                                    } /* update_rq_clock */
   11.713023 |   2)     dd-127     |               |                                                                    ttwu_do_activate() {
   11.713023 |   2)     dd-127     |               |                                                                      enqueue_task() {
   11.713023 |   2)     dd-127     |               |                                                                        enqueue_task_fair() {
   11.713024 |   2)     dd-127     |               |                                                                          update_curr.isra.0() {
   11.713024 |   2)     dd-127     |               |                                                                            update_se() {
   11.713024 |   2)     dd-127     |   0.129 us    |                                                                              cpuacct_charge();
   11.713024 |   2)     dd-127     |   0.420 us    |                                                                            } /* update_se */
   11.713024 |   2)     dd-127     |               |                                                                            dl_server_update() {
   11.713024 |   2)     dd-127     |   0.126 us    |                                                                              update_curr_dl_se();
   11.713025 |   2)     dd-127     |   0.374 us    |                                                                            } /* dl_server_update */
   11.713025 |   2)     dd-127     |   1.195 us    |                                                                          } /* update_curr.isra.0 */
   11.713025 |   2)     dd-127     |               |                                                                          update_curr.isra.0() {
   11.713025 |   2)     dd-127     |   0.124 us    |                                                                            update_se();
   11.713025 |   2)     dd-127     |   0.381 us    |                                                                          } /* update_curr.isra.0 */
   11.713025 |   2)     dd-127     |   0.162 us    |                                                                          __update_load_avg_se();
   11.713026 |   2)     dd-127     |   0.145 us    |                                                                          __update_load_avg_cfs_rq();
   11.713026 |   2)     dd-127     |   0.124 us    |                                                                          account_llc_enqueue();
   11.713026 |   2)     dd-127     |   0.125 us    |                                                                          reweight_eevdf();
   11.713027 |   2)     dd-127     |               |                                                                          place_entity() {
   11.713027 |   2)     dd-127     |   0.136 us    |                                                                            avg_vruntime();
   11.713027 |   2)     dd-127     |   0.414 us    |                                                                          } /* place_entity */
   11.713027 |   2)     dd-127     |   0.127 us    |                                                                          __enqueue_entity();
   11.713027 |   2)     dd-127     |   0.131 us    |                                                                          hrtimer_active();
   11.713028 |   2)     dd-127     |               |                                                                          hrtick_start_fair() {
   11.713028 |   2)     dd-127     |               |                                                                            hrtick_start() {
   11.713028 |   2)     dd-127     |               |                                                                              hrtimer_start_range_ns() {
   11.713028 |   2)     dd-127     |               |                                                                                _raw_spin_lock_irqsave() {
   11.713028 |   2)     dd-127     |   0.122 us    |                                                                                  preempt_count_add();
   11.713029 |   2)     dd-127     |   0.390 us    |                                                                                } /* _raw_spin_lock_irqsave */
   11.713029 |   2)     dd-127     |   0.146 us    |                                                                                hrtimer_start_range_ns_common();
   11.713029 |   2)     dd-127     |               |                                                                                _raw_spin_unlock_irqrestore() {
   11.713029 |   2)     dd-127     |   0.124 us    |                                                                                  preempt_count_sub();
   11.713029 |   2)     dd-127     |   0.385 us    |                                                                                } /* _raw_spin_unlock_irqrestore */
   11.713030 |   2)     dd-127     |   1.461 us    |                                                                              } /* hrtimer_start_range_ns */
